x,y,z
8839.94,3.75237e+39,0.00102774
8840.82,3.74904e+39,0.00106263
8842.25,3.74392e+39,0.00111922
8843.97,3.73819e+39,0.00118818
8845.69,3.73296e+39,0.0012581
8847.12,3.72902e+39,0.00131694
8848,3.72676e+39,0.00135388
8848.54,3.72545e+39,0.00137664
8849.85,3.72248e+39,0.00143299
8851.98,3.71832e+39,0.001527
8854.54,3.71432e+39,0.00164633
8857.1,3.71143e+39,0.00177307
8859.23,3.70986e+39,0.00188442
8860.54,3.70925e+39,0.00195656
8861.4,3.709e+39,0.0020053
8863.59,3.70889e+39,0.00213543
8867.14,3.71026e+39,0.00236548
8871.43,3.71441e+39,0.00268163
8875.72,3.72114e+39,0.00304685
8879.27,3.72857e+39,0.00339163
8881.46,3.73398e+39,0.00362629
8882.54,3.73685e+39,0.00374778
8884.73,3.74315e+39,0.00400989
8888.28,3.75453e+39,0.00448065
8892.58,3.77019e+39,0.00514265
8896.87,3.78779e+39,0.00592673
8900.42,3.80373e+39,0.00668297
8902.61,3.81418e+39,0.00720519
8903.69,3.81946e+39,0.00747754
8905.88,3.83054e+39,0.00806874
8909.43,3.84931e+39,0.00913887
8913.72,3.87329e+39,0.0106503
8918.01,3.89859e+39,0.0124388
8921.56,3.9204e+39,0.014157
8923.75,3.93426e+39,0.0153386
8924.83,3.94116e+39,0.0159536
8927.02,3.95541e+39,0.017286
8930.57,3.97895e+39,0.0196902
8934.87,4.00812e+39,0.0230775
8939.16,4.03796e+39,0.0270816
8942.71,4.06305e+39,0.0309283
8944.9,4.07872e+39,0.0335749
8945.98,4.08643e+39,0.0349521
8948.17,4.10222e+39,0.0379307
8951.72,4.12789e+39,0.0432623
8956.01,4.15906e+39,0.0506306
8960.3,4.19024e+39,0.059105
8963.85,4.21596e+39,0.0670233
8966.04,4.2318e+39,0.0723588
8967.12,4.23954e+39,0.0751034
8969.31,4.25526e+39,0.0809663
8972.86,4.28047e+39,0.0911929
8977.15,4.31049e+39,0.104774
8981.45,4.33988e+39,0.119669
8985,4.36363e+39,0.132969
8987.19,4.37803e+39,0.141633
8987.89,4.38253e+39,0.144443
8988.52,4.38664e+39,0.14705
8989.55,4.39325e+39,0.151324
8990.8,4.40116e+39,0.156577
8992.05,4.40898e+39,0.161918
8993.08,4.41538e+39,0.166397
8993.71,4.4193e+39,0.169193
8994.25,4.4226e+39,0.171566
8995.81,4.43203e+39,0.178505
8998.33,4.44698e+39,0.189909
9001.37,4.46454e+39,0.203918
9004.41,4.48155e+39,0.218066
9006.93,4.49522e+39,0.229793
9008.49,4.50349e+39,0.237025
9009.41,4.50832e+39,0.241285
9011.6,4.51963e+39,0.251388
9015.15,4.53736e+39,0.267459
9019.44,4.55789e+39,0.286248
9023.74,4.57743e+39,0.304071
9027.29,4.59288e+39,0.31788
9029.48,4.60211e+39,0.325922
9030.56,4.60655e+39,0.329712
9032.75,4.61542e+39,0.337115
9036.3,4.62928e+39,0.348168
9040.59,4.64523e+39,0.360019
9044.88,4.66033e+39,0.370215
9048.43,4.6722e+39,0.377401
9050.62,4.67926e+39,0.38128
