x,y
662.706,1.02843e+34
699.119,1.05246e+34
728.249,1.18063e+34
757.379,1.15031e+34
786.509,1.09471e+34
830.204,7.63815e+33
881.181,1.05989e+34
924.876,1.04348e+34
954.006,6.02945e+33
975.853,9.84591e+33
1019.55,1.02251e+34
1070.53,1.18628e+34
1128.79,2.0567e+34
1179.76,1.72733e+34
1238.02,3.83192e+34
1289,6.8256e+34
1325.41,1.06797e+35
1390.96,2.13962e+35
1441.93,3.39415e+35
1492.91,6.02556e+35
1573.02,1.27733e+36
1623.99,2.21611e+36
1674.97,4.57031e+37
1747.8,1.56651e+37
1835.19,4.15372e+38
1893.45,3.00846e+38
1958.99,4.35571e+38
2031.81,2.55514e+38
2111.92,4.2661e+38
2192.03,5.47508e+38
2315.83,9.56741e+38
2461.48,5.17757e+38
2599.85,4.28247e+38
2730.93,6.83852e+38
2876.58,5.97106e+38
3014.95,1.17764e+39
3131.47,1.10733e+39
3284.4,1.02079e+39
3422.77,1.49257e+39
3568.42,9.20518e+38
3684.94,1.28373e+39
3786.89,1.54108e+39
3932.54,7.23182e+38
4078.19,1.5483e+39
4223.84,1.30929e+39
4369.49,1.26976e+39
4515.14,2.30412e+39
4660.79,1.68687e+39
4791.88,2.07929e+39
4915.68,2.60285e+39
5061.33,3.06705e+39
5214.26,1.85515e+39
5352.63,1.9425e+39
5498.28,1.69033e+39
5643.93,1.46258e+39
5789.58,1.89681e+39
5935.23,1.78671e+39
6080.88,1.49384e+39
6226.53,1.55061e+39
6372.18,1.73582e+39
6517.83,1.35311e+39
6663.48,5.71119e+39
6809.13,6.00259e+39
6954.78,6.15778e+39
7100.43,3.67658e+39
7246.08,6.66757e+39
7391.72,6.14372e+39
7537.37,5.63364e+39
7683.02,6.71126e+39
7828.67,5.88962e+39
7974.32,6.37396e+39
8119.97,5.92163e+39
8265.62,5.94446e+39
8411.27,4.86313e+39
8556.92,4.54313e+39
8702.57,4.80123e+39
8848.22,3.72623e+39
8993.87,4.42026e+39
9139.52,4.83008e+39
9285.17,4.69684e+39
9430.82,4.22545e+39
9576.47,4.38851e+39
9722.12,4.21473e+39
9867.77,4.17793e+39
10013.4,3.97329e+39
10159.1,3.73539e+39
10304.7,3.72821e+39
10450.4,3.68021e+39
10537.8,3.62995e+39
10668.8,3.4321e+39
10814.5,3.42079e+39
10960.1,3.30485e+39
11047.5,3.09757e+39
11178.6,2.88807e+39
11324.3,2.9649e+39
11469.9,2.88284e+39
11615.6,2.83019e+39
11761.2,2.74535e+39
11906.9,2.70357e+39
12052.5,2.54823e+39
12176.3,2.57845e+39
12271,2.5958e+39
12416.6,2.40374e+39
12562.3,2.49513e+39
12707.9,2.36692e+39
12853.6,2.28139e+39
12999.2,2.26348e+39
13144.9,2.22663e+39
13290.5,2.22296e+39
13436.2,2.07406e+39
13581.8,1.94587e+39
13727.5,1.92162e+39
13873.1,2.04291e+39
14018.8,1.92054e+39
14164.4,1.77211e+39
14324.7,1.74433e+39
14448.5,1.70218e+39
14601.4,1.67818e+39
14747,1.63142e+39
14892.7,1.56614e+39
15038.3,1.53412e+39
